,City,Title,Company,Location,Description,Salary
68,Seattle,Scientist,Exponent,"Bellevue, WA 98007 (Lake Hills area)","Providing case management, data processing, and other project support; Exponent's Human Factors Practice is seeking a Scientist for our Bellevue, WA office....",Nothing_found
69,Seattle,RESEARCH ANALYST,University of Washington,"Seattle, WA","Perform data analysis. Support data entry and organization for IFPRI. Skill in protocol development, for collecting primary data low resources settings....",Nothing_found
70,Seattle,Research Associate I - Bench,Seattle Children’s,"Seattle, WA","Familiarity with computers, including data entry and spreadsheets. Vishal Nigam, a physician scientist who cares for children born with cardiac defects....",Nothing_found
71,Seattle,Applied Scientist Intern – Machine Learning,"Amazon.com Services, Inc.","Seattle, WA","We love data and we have lots of it. Programming skills sufficient to extract, transform, and clean large (multi-TB) data sets in a Unix/Linux environment....",Nothing_found
72,Seattle,Strategic Planner Intern - Summer 2019 Internship,Wunderman,"Seattle, WA","As a leading digital agency, we’re home to 9,200 creatives, data scientists, strategists, and technologists in 200 offices in 70 markets....",Nothing_found
73,Seattle,RESEARCH SCIENTIST 2 DATA MANAGER,University of Washington,"Seattle, WA","Analyze data (SQL Reporting Services (SSRS), Excel, R). Create data products (TSQL, R, Excel) and APIs. JISAO has an outstanding opportunity for a Research...",Nothing_found
74,Seattle,Data Scientist,TenPoint7,"Seattle, WA","TenPoint7 is hiring a Data Scientist in Seattle, US. Data acquisition, cleanup and filtering; Work very closely with our Data Engineering and Full Stack...",Nothing_found
75,Seattle,RESEARCH SCIENTIST ENGINEER 4,University of Washington,"Seattle, WA","Exploratory data analysis of data sets relevant to the projects, with meticulous attention to documenting key findings and decisions made, using GitHub project...",Nothing_found
76,Seattle,Sr. Data Scientist,Amazon Services LLC,"Seattle, WA","Data Scientist, you will discover and solve real world problems by analyzing large amounts of business data, defining new metrics and business cases, designing...",Nothing_found
77,Seattle,"Associate, Data & Analytics Modeler Machine Learning - FS",KPMG,Nothing_found,"Build ingestion processes to prepare, extract, and enrich a variety of structured and unstructured data sources such as social media, news, internal/external...","KPMG


5,119 reviews"
78,Seattle,Data Scientist,Tacoma Power,Nothing_found,"Automating data retrieval. And data visualization design. Tacoma Power's Rates, Planning and Analysis (RPA) Section has an opportunity for a Data Scientist to...",Tacoma Power
79,Los+Angeles,Operations Research Analyst,"ExoAnalytic Solutions, Inc.",Nothing_found,"*Position type: Full Time, Employee Major: Advanced degree in operations research, applied mathematics, or related field Experience: * 3+ years work...","ExoAnalytic Solutions, Inc."
80,Los+Angeles,Software Engineering Intern,Raytheon,"El Segundo, CA","Programming in C and/or C++, Calculus for Engineers and Scientists. Responsibilities will include support of the software team with the requirements, design,...",Nothing_found
81,Los+Angeles,Market Research Analyst (Corporate and Political),Benenson Strategy Group,"Santa Monica, CA","Participating in managing the execution of the market research, working closely with the field management and data processing teams on quality control....",Nothing_found
82,Los+Angeles,Fandango-Big Data Engineer,NBCUniversal,"Beverly Hills, CA","Understanding of data warehousing concepts. Working with predictive analysts and data scientists, build scalable prototypes of machine learning algorithms,...",Nothing_found
83,Los+Angeles,Technologist II,Jet Propulsion Laboratory,"Pasadena, CA","Programming in C/C++, formal methods such as SAT/SMT solving, data structures and algorithms, and hardware/software interfaces....",Nothing_found
84,Los+Angeles,"Director, Machine Learning Data Scientist",KPMG,"Los Angeles, CA 90079","Work with clients to discover data sources and retrieve, prepare, and process a rich data variety of data sources such as social media, news, internal/external...",Nothing_found
85,Los+Angeles,"Senior Data Engineer, DSP",VideoAmp,"Santa Monica, CA","Collaborating with Data Scientists and productionalizing various Data Science Models. A solid and demonstrable understanding of ETL workflows, data warehousing,...",Nothing_found
86,Los+Angeles,Senior Analyst - Consumer Brand Research,Hall & Partners,"Los Angeles, CA",Presenting data clearly and accurately; Capable of gathering and analyzing data from multiple sources. Write clear and inspiring insight stories for clients...,Nothing_found
87,Los+Angeles,Associate Scientist,CSL Behring,"Pasadena, CA",Present experimental data at departmental or project meetings. Drafting of Protocols or Standard Operating Procedures (SOP) for the production of viral vector...,Nothing_found
88,Los+Angeles,Ad Operations Manager,Giant Media,"Los Angeles, CA","Giant Media’s team of account managers, engineers, data scientists, designers, operations specialists and marketing experts are experts at creating unique and...",Nothing_found
89,Los+Angeles,Computer Vision Research Scientist,Aptiv,"Santa Monica, CA","(1) Deep learning applied to image, LIDAR or other sensor data. We are seeking highly talented Computer Vision Research Scientists focused on computer vision &...",Nothing_found
90,Los+Angeles,Statistical Analyst,LegalZoom,Nothing_found,Effectively retrieve data from sources such as Google Analytics (using BigQuery) and our proprietary data warehouse (using SQL)....,"LegalZoom


98 reviews"
91,Los+Angeles,Associate Scientist,CSL Behring,Nothing_found,Present experimental data at departmental or project meetings. Drafting of Protocols or Standard Operating Procedures (SOP) for the production of viral vector...,"CSL Behring


194 reviews"
92,Los+Angeles,"Scientist, Process Design and Validation",Endeavor Consulting Group,Nothing_found,"Scientist, Process Design and Validation:. Support reformulation activities related to supply disruptions issues including laboratory batching, historical data...",Endeavor Consulting Group
